Cliente,cod articolo,mean,std,mean_differenza_giorni
CALZIFICIO TEX STYLE,2266S+ZN,92.0,0.0,20.0
CALZIFICIO TEX STYLE,4402DN,28.8,40.43760625952036,26.0
CALZIFICIO TEX STYLE,4405ZN,20.0,0.0,26.0
CALZIFICIO TEX STYLE,4407DN,35.0,21.213203435596427,26.0
CALZIFICIO TEX STYLE,4424ZF,20.0,0.0,26.0
CALZIFICIO TREVER,13005ZF 17600,2000.0,0.0,60.0
CALZIFICIO TREVER,13007ZF 903C 14000,590.9090909090909,202.25995873897259,60.0
CALZIFICIO TREVER,13007ZN/F-14500,500.0,0.0,26.0
CALZIFICIO TREVER,2270S+ZN,2666.6666666666665,1154.7005383792514,26.0
CALZIFICIO TREVER,2270S+ZN mini 19800,1000.0,0.0,26.0
CALZIFICIO TREVER,2270SN,1607.142857142857,643.1877456781,32.0
CALZIFICIO TREVER,2270ZN,1468.75,712.6096406869613,32.0
CALZIFICIO TREVER,2271DN 20700,2031.25,826.0094833999586,75.0
CALZIFICIO TREVER,4459DN 20700,1000.0,0.0,27.0
CALZIFICIO TREVER,4464S+ZN,1155.0,614.7899370245634,26.0
CALZIFICIO TREVER,4464ZN,65.0,0.0,26.0
CALZIFICIO TREVER,X21-2099S+ZN mini,1045.0,0.0,26.0
CALZIFICIO TREVER,X23-13097V5ZF,180.0,0.0,26.0
CALZIFICIO TREVER,X23-13097V8ZF,1500.0,0.0,26.0
CALZIFICIO TREVER,X23-13097ZF,180.0,0.0,26.0
CALZIFICIO VACCARI,4405ZN,20.666666666666668,1.154700538379251,26.0
CALZIFICIO ZETA,33001DN2,100.0,0.0,26.0
CALZIFICIO ZETA,33002DN,100.0,0.0,26.0
CHRIMARTEX,2202ZF,28.333333333333332,14.433756729740644,26.0
CHRIMARTEX,2202ZN,70.0,0.0,26.0
CHRIMARTEX,2269ZN2,96.66666666666667,56.86240703077327,26.0
CSP INTERNATIONAL,1724S+ZN,163.33333333333334,52.20153254455275,26.0
CSP INTERNATIONAL,1724S+ZN 2cicli,150.0,0.0,50.0
CSP INTERNATIONAL,1730S+ZN,100.0,0.0,2.0
CSP INTERNATIONAL,2250S+ZN,200.0,141.4213562373095,64.0
CSP INTERNATIONAL,4412S+ZN,373.3333333333333,219.3931022920578,48.0
CSP INTERNATIONAL,7032S+ZN,335.0,162.63455967290594,35.0
CSP PARIS,1724S+ZN,100.0,0.0,8.0
CSP PARIS,2250S+ZN,237.0,105.41452566995794,61.0
CSP PARIS,2250SN,140.0,14.142135623730951,26.0
CSP PARIS,2250ZN,86.66666666666667,40.414518843273804,26.0
CSP PARIS,4412S+ZN,260.0,277.8488797889961,26.0
CSP PARIS,4412SN,130.0,0.0,26.0
CSP PARIS,4412ZN,130.0,0.0,58.0
CSP PARIS,4466S+ZN,170.0,118.65917579353061,53.0
CSP PARIS,4466SN1,162.5,65.0,26.0
CSP PARIS,4466ZN1,290.0,42.42640687119285,60.0
DIAMANT,23503DN-5000,540.0,0.0,26.0
DIAMANT,23504DN-5000,99.57142857142857,79.97678234516387,26.0
DIAMANT,23504DN-Q5143,223.33333333333334,51.31601439446884,26.0
DIAMANT,23504DN-Q7175,102.57142857142857,142.63923857393652,26.0
DIAMANT,23504DN-Q7299,200.72727272727272,182.54976905440932,26.0
DIAMANT,23504DN-Q7300,2.0,0.0,26.0
