Cliente,n. ordine interno,codarticolo,descrizione,quantità,data di consegna,Mc No.,data fermata prevista,data inserimento produzione,n. levate,nr fusi effettivi,fine produzione,kg prodotti,evaso
CALZIFICIO TREVER,107,4464S+ZN,"K44/13f10 S+Z tpm 1800 st. 2,8 (CI)","1.800,0",,20,,11/03/2023,8,,31/05/2023,"1.034,6400",Vero
,,,,,,24,22/10/2024,04/03/2023,8,,24/05/2023,"1.034,6400",
OLIMPIAS GROUP SRL,228,2274ZN,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)","1.050,0",30/06/2023,25,15/10/2024,21/06/2023,6,,09/07/2023,"1.207,6800",Vero
DIAMANT,180,23504DN-Q5143,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","210,0",,,,,,,,,Vero
DIAMANT,201,23504DN-Q7175,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","3,0",,,,,,,,,Vero
FEIN ELAST GRABHER,230,11007SF 2 cicli,"Ro15/11f7 S tpm 2180 st. 2,75 (CHF)","170,0",16/08/2023,44,11/10/2024,28/06/2023,2,,17/08/2023,"274,8500",Vero
CALZIFICIO CREMONA,231,X21-2291SF,"K22/44f48 Z tpm 600 st. 2,9 (CL)","120,0",31/08/2023,51,25/11/2024,03/07/2023,1,,05/07/2023,"117,5625",Vero
SANYLEG,91,62001DN,"Ro620/44f34 dc tpm 800 st. 5,2 (FC)","210,0",03/04/2023,38,,11/06/2023,1,,14/06/2023,"238,4800",Vero
DIAMANT,232,39502DN-14822,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","15,0",,C3,,01/07/2023,1,,02/07/2023,"25,8538",Vero
W.ZIMMERMANN,233,X18-4406V2SN,"Ro44/16f10 S tpm 1250 st. 2,9 (CL)","84,0",,59,05/10/2024,26/06/2023,1,,04/07/2023,"159,3281",Vero
DIAMANT,234,94003DN-Q7299,"Cr940/167f48 citron tint tpm 800 dc st.  3,3 (DD)","5,0",,C2,,27/07/2023,1,,27/07/2023,"13,6338",Vero
DIAMANT,235,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","200,0",,39,09/10/2024,27/07/2023,1,,29/07/2023,"245,5200",Vero
MARYGOLD,236,2268S+ZN,"K22/22f20 S+Z tpm 2300 st. 2,8 (CI)","12,0",,C3,,28/06/2023,1,,14/07/2023,"1,9147",Vero
DIAMANT,237,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","540,0",,39,09/10/2024,29/07/2023,2,,02/08/2023,"491,0400",Vero
DIAMANT,238,94003DN-Q7299,"Cr940/167f48 citron tint tpm 800 dc st.  3,3 (DD)","15,0",,C1,,27/07/2023,1,,27/07/2023,"10,2253",Vero
FRITSCHE,241,S21-60082DNB,"Muriel 600/70/1 Nomex dc 1100 st. 4,4 (EE)","90,0",,37,01/10/2024,26/06/2023,2,,30/06/2023,"253,00",Vero
FROHN GMBH,239,S14-60005V2DN,"Muriel 600/90/1 Nomex dc 1200 st. 4,5 (EF)","39,0",,37,01/10/2024,05/07/2023,2,,07/07/2023,"116,1600",Vero
SCORTA,240,4412S+ZN,"Ly 44/13f7 S+Z tpm 1700 st. 3,8 (DI)","300,0",,17,31/12/2024,23/06/2023,2,,18/07/2023,"295,200",Vero
FALKE,50,X21-2291SF,"K22/44f48 Z tpm 600 st. 2,9 (CL)","60,0",,,,,,,,,Vero
SANYLEG,242,62001DN1,"Ro620/44f34 dc tpm 800 st. 5,2 (FC)","210,0",11/09/2023,42,,05/07/2023,2,,12/07/2023,"476,9600",Vero
TRERE' INNOVATION,243,20098DN,"Ly200/44f13x2 DC tpm 1000 st. 4,2 (EC)","75,0",15/07/2023,39,09/10/2024,10/07/2023,1,,12/07/2023,"78,6600",Vero
PIEFFE SPORT,244,S18-200014DN,"Mu2000/62f18 DC tpm 700 st. 3,6 (DG)","5,0",,38,,10/07/2023,1,,11/07/2023,"131,1200",Vero
SCORTA,245,4402DN,"Ly 44/11f7 DC tpm 1900 st. 3,5 (DF)","200,0",,36,15/11/2024,06/07/2023,2,,03/08/2023,"208,9400",Vero
SCORTA,246,4415ZF,Ly 44/44f13 Z tpm 900 st. 4 (EA),"200,0",,45,,07/07/2023,2,,15/07/2023,"289,5360",Vero
ALLERGO SYSTEM,248,4462ZN2,"Cr44/78f68 nero Z tpm 1000 st. 3,2 (DC)","85,0",,72,21/11/2024,07/07/2023,1,,10/07/2023,"144,7772",Vero
AMBROFIBRE,247,X21-4480S+ZN,"Cr 44/22f7 S+Z tpm 1550 st. 3,2 (DC)","160,0",04/07/2023,54,,10/07/2023,1,,18/07/2023,"140,5800",Vero
MANIFATTURA ITALIA CUCIRINI,249,X22-2211ZF1,"Ro 22/78f24 Z tpm 450 st. 3,2 (DC)","750,0",,14,,12/07/2023,4,,21/07/2023,"801,3600",Vero
CSP PARIS,250,4466ZN1,"Ly44/22f7 Z tpm 1900 stiro 3,6 (DG)","320,0",05/09/2023,24,22/10/2024,11/07/2023,3,,09/08/2023,"388,8390",Vero
CSP INTERNATIONAL,251,4412S+ZN,"Ly 44/13f7 S+Z tpm 1700 st. 3,8 (DI)","600,0",05/08/2023,24,22/10/2024,10/07/2023,2,,04/08/2023,"295,200",Vero
,,,,,,20,,06/07/2023,2,,31/07/2023,"295,200",
SCORTA,252,4466S+ZN,"Ly44/22f7 S+Z tpm 1900 stiro 3,6 (DG)","14,0",,59,05/10/2024,07/09/2023,4,,16/10/2023,"534,6536",Vero
SANYLEG,253,2274ZN2015,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)","100,0",,25,15/10/2024,11/07/2023,1,,14/07/2023,"201,2800",Vero
MANIFATTURA ITALIA CUCIRINI,229,X23-2299V3ZF,"Ro 22/78f24 Z tpm 450 st. 3,5 (DF)","24,0",,,,,,,,,Vero
DIAMANT,204,23504DN-Q5143,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","280,0",,,,,,,,,Vero
DIAMANT,205,94003DN-Q5143,"Cr940/167f48 hyper turq tpm 800 dc st.  3,3 (DD)","8,0",,,,,,,,,Vero
T.A.T SRL,254,S16-60015V2DN2,"Mu600/100/1 aramidico DC tpm 1250 st. 4,5 (EF)","100,0",,37,01/10/2024,13/07/2023,1,,15/07/2023,"108,2400",Vero
DIAMANT,255,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","205,0",,39,09/10/2024,08/09/2023,1,,10/09/2023,"245,5200",Vero
DIAMANT,256,94003DN-Q7299,"Cr940/167f48 citron tint tpm 800 dc st.  3,3 (DD)","6,0",,C2,,08/09/2023,1,,08/09/2023,"13,6338",Vero
DIAMANT,257,94003DN-5000,"Cr940/167f48 nero tpm 800 dc st.  3,3 (DD)","6,0",,C2,,08/09/2023,1,,08/09/2023,"13,6338",Vero
DIAMANT,258,23504DN-5000,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","210,0",,39,09/10/2024,10/09/2023,1,,12/09/2023,"245,5200",Vero
MICHELE LETIZIA,259,X22-7806S+ZN,"Ly 78/44f72 Z tpm 900 st. 4,0 (EA)","214,0",,,,,,,,,Vero
FALKE,260,749DN,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)","720,0",,64,12/10/2024,19/07/2023,2,,24/08/2023,"211,1900",Vero
,,,,,,12,10/10/2024,14/07/2023,4,,24/09/2023,"422,3800",
,,,,,,62,,18/07/2023,3,,10/09/2023,"316,7850",
FRITSCHE,261,S14-60003V2DN 23h,"Mu600/70/1 Nomex DC tpm 1100 st. 4,4 (EE)","500,0",,38,,08/09/2023,3,,11/09/2023,"189,0600",Vero
UTEXBEL,262,S21-60083V3DN1,"Mu600/120/1 Aramidico dc 1400 st. 4,5 (EF)","1.100,0",,37,01/10/2024,31/07/2023,9,,10/08/2023,"408,2400",Vero
SANYLEG,263,62001DN1,"Ro620/44f34 dc tpm 800 st. 5,2 (FC)","230,0",18/09/2023,42,,19/07/2023,2,,26/07/2023,"476,9600",Vero
SCORTA,264,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)","1.120,0",,23,,09/09/2023,10,,09/10/2023,"1.120,00",Vero
CALZIFICIO CREMONA,265,X21-2291SF,"K22/44f48 Z tpm 600 st. 2,9 (CL)","120,0",,,,,,,,,Vero
W.ZIMMERMANN,267,X18-4406V2SN,"Ro44/16f10 S tpm 1250 st. 2,9 (CL)","316,80",14/09/2023,72,21/11/2024,26/07/2023,2,,12/08/2023,"318,6563",Vero
MARYGOLD,236,2268S+ZN,"K22/22f20 S+Z tpm 2300 st. 2,8 (CI)","14,60",,,,,,,,,Vero
FUJIAN HUAFENG NEW MATERIAL,266,S21-500011DN,"Muriel 5000/62f18 dc tpm 1100 st. 2,0 (CA)","4,0",,C2,,15/09/2023,1,,15/09/2023,"17,7125",Vero
SCORTA,268,4457ZN2,"Cr44/44f34 Z tpm 900 st. 3,6 (DG)","180,0",,25,15/10/2024,28/08/2023,1,,04/09/2023,"180,400",Vero
FGP,270,X22-31002V7DN_1,"Cr310/78f68 dc tpm 1200 st. 2,7(CH)","200,0",,38,,15/09/2023,2,,30/09/2023,"997,2800",Vero
SCORTA,269,S18-160040DN,"Mu1600/62f18 solvron dc tpm 700 st. 3,6 (DG)","2,0",24/07/2023,C2,,24/07/2023,1,,24/07/2023,"4,6125",Vero
MICHELE LETIZIA,271,X22-7806S+ZN,"Ly 78/44f72 Z tpm 900 st. 4,0 (EA)","374,60",,71,06/11/2024,28/08/2023,3,,09/09/2023,"457,4728",Vero
DIAMANT,273,94003DN-5000,"Cr940/167f48 nero tpm 800 dc st.  3,3 (DD)","10,0",,C2,,15/09/2023,1,,15/09/2023,"13,6338",Vero
DIAMANT,274,23504DN-5000,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","190,0",,39,09/10/2024,22/09/2023,1,,24/09/2023,"245,5200",Vero
DIAMANT,275,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","430,0",,39,09/10/2024,18/09/2023,2,,22/09/2023,"491,0400",Vero
DIAMANT,276,94003DN-Q7299,"Cr940/167f48 citron tint tpm 800 dc st.  3,3 (DD)","15,0",,C2,,15/09/2023,1,,15/09/2023,"13,6338",Vero
FEIN ELAST GRABHER,277,10985ZF,"Ly44/78f68 Z tpm 1000 st. 3,3 (DD)","800,0",,C3,,14/09/2023,2,,24/09/2023,"60,4750",Vero
,,,,,,13,,12/09/2023,3,,27/09/2023,"725,700",
GUSTAV GERSTER,278,S22-120027DN2,"Mu 1200/167f36 dc tpm 600 st. 4,5 (EF)","12,0",,,,,,,,,Vero
GUSTAV GERSTER,279,S22-120027V2DN2,"Mu 1200/167f36 dc tpm 800 st. 4,5 (EF)","5,0",,,,,,,,,Vero
DIAMANT,281,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","90,0",,39,09/10/2024,24/09/2023,1,,26/09/2023,"245,5200",Vero
DIAMANT,282,94003DN-Q7299,"Cr940/167f48 citron tint tpm 800 dc st.  3,3 (DD)","3,0",,C2,,15/09/2023,1,,15/09/2023,"13,6338",Vero
FALKE,283,X22-2005V2ZN vari co,"Ly 20/22f7x2 Z tpm 900 st. 2,9 (CL)","120,0",,52,01/10/2024,26/09/2023,1,,29/09/2023,"106,7344",Vero
CALZIFICIO BELLAFONTE,284,X23-2288S+ZN 8 giorn,"K22/22f10 innergy S+Z tpm 1400 st. 2,75 (CHF)","200,0",,19,09/10/2024,28/08/2023,2,,13/09/2023,"250,800",Vero
FISHER & PAYKEL,280,X21-39599V7DN0332,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Blu","200,0",,,,,,,,,Vero
FALKE,285,ManilaZN1,"K22/11f5 Z tpm 2500 st. 2,6 (CG)","120,0",,19,09/10/2024,14/09/2023,1,,07/10/2023,"126,1550",Vero
GI TESSIL FODERAMI,286,2254ZN,"Cr22/44f34 Z tpm 600 st. 3,2 (DC)","1.400,0",,57,,02/09/2023,6,,07/10/2023,"1.479,3075",Vero
,,,,,,58,05/12/2024,29/08/2023,7,,09/10/2023,"1.725,8588",
SCORTA,287,2218ZN,"Ly22/22f7 Z  tpm 1000 st. 3,8 (DI)","380,0",,18,06/10/2024,04/09/2023,4,,24/09/2023,"413,2500",Vero
SCORTA,288,S18-160040DN,"Mu1600/62f18 solvron dc tpm 700 st. 3,6 (DG)","9,0",,,,,,,,,Vero
DIAMANT,289,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","66,0",,39,09/10/2024,01/10/2023,1,,03/10/2023,"245,5200",Vero
FISHER & PAYKEL,290,X21-39599V7DN0333,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Grey","200,0",,41,19/11/2024,18/10/2023,1,,19/10/2023,"215,2296",Vero
SANYLEG,291,7035DN1,"Ly 78/13f5 dc tpm 2100 stiro 3,2 (DC)","300,0",,69,18/10/2024,28/10/2023,2,,30/11/2023,"323,3588",Vero
SCORTA,292,4439ZN,"Cr44/44f13 Z tpm 650 st. 3,6 (DG)","280,0",,56,26/12/2024,11/09/2023,5,,26/09/2023,"722,2875",Vero
SCORTA,293,7036ZN,"Ly78/44F34 Z tpm 900 st. 4,2 (EC)","500,0",,18,06/10/2024,31/08/2023,4,,28/09/2023,"980,4200",Vero
MANIFATTURA ITALIA CUCIRINI,294,4428ZN/F,"Cr44/44f13 Z tpm 1000 st. 3,6 (DG)","300,0",,,,,,,,,Vero
DIAMANT,295,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","115,0",,39,09/10/2024,09/10/2023,1,,11/10/2023,"245,5200",Vero
DIAMANT,296,94003DN-Q7299,"Cr940/167f48 citron tint tpm 800 dc st.  3,3 (DD)","4,0",,C2,,05/10/2023,1,,05/10/2023,"13,6338",Vero
DIAMANT,297,23504DN-Q7175,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","3,0",,C2,,28/09/2023,1,,30/09/2023,"30,6900",Vero
SANYLEG,299,15613DN1,"Ly 156/13f5 dc tpm 2000 stiro 3,7 (DH)","230,0",,67,11/11/2024,03/10/2023,1,,21/10/2023,"234,4753",Vero
