N° MC,,,,cod articolo,descrizione,N° fusi reali,velocita fusi inferiori,data ora partenza,data ora fine,data ora fine manuale,ore lavorate dalla partenza,KWh assorbiti,KW medi,produzione [kg],KWh/Kg,€/Kg,note,N° scheda
-,Anno Inizio : 2024,,,,,,,,,,,,,,,,,
,-,Mese Inizio : 4,,,,,,,,,,,,,,,,
,,+,39,62002DN,"Cr620/78f24 dc tpm 800 st. 4,8",,11960,12/04/2024 15:16:44,14/04/2024 13:37:40,,"46,2700","300,2700","6,4895","151,6400","1,9800","0,4400",,
,,+,39,62002DN,"Cr620/78f24 dc tpm 800 st. 4,8",,11890,15/04/2024 14:15:51,17/04/2024 15:07:13,,"48,8500","408,0900","8,3539","164,8400","2,4800","0,5400",,
,,+,39,62002DN,"Cr620/78f24 dc tpm 800 st. 4,8",,11969,17/04/2024 15:13:25,19/04/2024 12:46:41,,"45,4200","289,400","6,3716","148,8500","1,9400","0,4300",,
,,+,39,39502DN-14446,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)",62,11141,19/04/2024 15:19:06,20/04/2024 10:27:37,,"19,1300","86,6400","4,5290","24,6100","3,5400","0,7800",+ sta girando x22-39502dn X 16 SPOLE   + campioni 12 SPOLE,
,,+,39,39502dn,,,11169,20/04/2024 10:48:02,21/04/2024 03:39:00,,"16,700","70,7800","4,2383",,,,39502dn,
,,+,39,62002DN2,"Cr620/78f18  dc tpm 800 st. 4,8",,11877,23/04/2024 12:32:32,25/04/2024 14:33:37,,"50,0200","456,4700","9,1257","163,9300","2,7800","0,6100",,
,,+,39,62002DN2,"Cr620/78f18  dc tpm 800 st. 4,8",,11972,25/04/2024 14:56:21,27/04/2024 11:46:41,,"44,700","297,7500","6,6611","146,500","2,0300","0,4500",,
,,+,40,X21-20099DN2,"Ly200/22f10 DC tpm 1500 st. 4,6 (EG)",,19841,02/04/2024 11:38:43,08/04/2024 04:13:58,,"136,5800","1706,3300","12,4933","128,4600","13,2800","2,9200",,
,,+,40,X21-20099DN2,"Ly200/22f10 DC tpm 1500 st. 4,6 (EG)",,19833,10/04/2024 15:36:07,16/04/2024 05:26:48,,"133,7200","1673,6100","12,5158","125,7600","13,3100","2,9300",,
,,+,40,S180001DN,"Muriel 1800/62f18 dc tpm 700 st. 3,6",,19846,18/04/2024 08:43:44,24/04/2024 02:40:50,,"137,9200","1705,3400","12,3647","795,300","2,1400","0,4700",,
,,+,40,S180001DN,"Muriel 1800/62f18 dc tpm 700 st. 3,6",,9239,24/04/2024 15:37:23,24/04/2024 20:37:53,,"4,9800","23,3800","4,6948","28,7400","0,800","0,1800",,
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,19935,03/04/2024 09:14:00,07/04/2024 07:16:12,,"93,900","1070,400","11,3994","55,2300","19,3700","4,2600",,
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,19912,08/04/2024 10:35:09,12/04/2024 05:31:20,,"90,9200","1029,7800","11,3262","107,9600","9,5400","2,100",METTERE LYCRA 330 USATA VA 1 CICLO,
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,19926,12/04/2024 10:28:12,16/04/2024 03:34:48,,"89,100","1022,1300","11,4717","71,5400","14,2900","3,1400",,
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,19935,16/04/2024 10:29:06,20/04/2024 11:12:37,,"96,600","1078,8800","11,1685","58,1800","18,5500","4,0800",,
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,19926,20/04/2024 13:15:10,24/04/2024 05:29:04,,"88,0800","994,3400","11,2891","104,600","9,500","2,0900",,
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,19949,24/04/2024 12:32:39,28/04/2024 11:28:57,,"94,8700","1077,0500","11,3529","112,6500","9,5600","2,100",,
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,19941,29/04/2024 11:50:44,03/05/2024 06:30:52,,"90,5700","1038,6900","11,4684","107,5500","9,6600","2,1300",,24-84902
,,+,42,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",,16146,02/04/2024 09:12:25,05/04/2024 01:49:35,,"64,5500","494,400","7,6592","123,8700","3,9900","0,8800",CAMPIONI,
,,+,42,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",,16082,05/04/2024 13:19:26,07/04/2024 21:53:15,,"56,5300","442,500","7,8277","108,4900","4,0700","0,900",,
,,+,42,X24-31001DN366,"Ro 310/33f34 dc  tpm 1030 stiro 5,0 (FA)",,16068,09/04/2024 09:02:02,13/04/2024 06:02:29,,"92,9200","811,2200","8,7303","143,8800","5,6400","1,2400",,
,,+,42,X24-31001DN366,"Ro 310/33f34 dc  tpm 1030 stiro 5,0 (FA)",,16075,13/04/2024 07:21:10,16/04/2024 21:21:35,,"86,00","761,9300","8,8597","133,1700","5,7200","1,2600",,
,,+,42,X23-47097DN1,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",,16115,17/04/2024 10:13:11,20/04/2024 00:45:05,,"62,3700","475,4600","7,6232","119,6800","3,9700","0,8700",3° e 4° levata far fare tutte le spole x finire nylon e in base a quante ne escono metterle sulla mc cercando di far finire la roica,
,,+,42,X23-47097DN1,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",,16113,20/04/2024 07:21:16,22/04/2024 18:54:02,,"59,4800","460,6400","7,7445","114,1500","4,0400","0,8900",3° e 4° levata far fare tutte le spole x finire nylon e in base a quante ne escono metterle sulla mc cercando di far finire la roica,
,,+,42,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",,16113,23/04/2024 09:37:05,25/04/2024 17:44:21,,"56,0300","428,9300","7,6554","107,5300","3,9900","0,8800",,
,,+,42,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",,16112,26/04/2024 09:16:12,29/04/2024 00:00:40,,"62,7300","486,4800","7,7551","120,3900","4,0400","0,8900",,
,,+,42,X24-31001DN366,"Ro 310/33f34 dc  tpm 1030 stiro 5,0 (FA)",,16077,29/04/2024 10:09:16,03/05/2024 06:08:29,,"91,8200","804,1300","8,7577","142,1800","5,6500","1,2400",ALTERNARE ART. X23-47097DNSAND +GREGGIO,24-82002
,,+,43,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14599,06/04/2024 05:59:44,11/04/2024 08:42:20,,"122,600","1158,5700","9,4500","196,8300","5,8900","1,300",,
,,+,43,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14591,11/04/2024 15:59:03,15/04/2024 23:39:39,,"103,5700","1047,6600","10,1155","166,2800","6,300","1,3900",,
,,+,43,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14610,23/04/2024 14:35:15,28/04/2024 05:32:00,,"110,7800","1029,9700","9,2974","177,8600","5,7900","1,2700",,
,,+,44,2265SN2,"Cr22/50f34 S tpm 1000 st. 3,2 (DC)",,15608,08/04/2024 11:21:05,11/04/2024 05:54:16,,"66,3800","725,5300","10,9299","83,8800","8,6600","1,900","
",
,,+,44,X24-2202s+z,,,15602,12/04/2024 12:43:22,16/04/2024 00:58:06,,"84,1300","983,6300","11,6918",,,,X24-2202s+z,
,,+,44,X23-3399S+ZF,"Ly 33/13f7 S+Z tpm 1750 st. 3,1",,20314,26/04/2024 12:55:36,09/05/2024 04:09:39,,"303,100","4108,0200","13,5533","129,5700","31,700","6,9700","NO NODI SOST TUB ALLA ROTTURA
",
,,+,45,7034ZN,"Cr 78/22f7 Z tpm 1900 st. 4,0 (EA)",,20869,19/04/2024 08:58:38,29/04/2024 17:36:58,,"248,4800","4666,3700","18,7797","167,600","27,8400","6,1200",,
,,+,46,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",,13827,02/04/2024 10:08:46,07/04/2024 09:53:51,,"119,700","1648,1600","13,7691","219,4700","7,5100","1,6500",,
,,+,46,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",,13825,15/04/2024 13:55:44,20/04/2024 13:05:05,,"119,0800","1606,4400","13,4904","218,3400","7,3600","1,6200",RESIDUO DI 20 SPOLE X TORSIONE,
,,+,46,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",,14028,20/04/2024 13:41:57,25/04/2024 13:15:33,,"119,5200","735,600","6,1546","219,1300","3,3600","0,7400",RESIDUO,
,,+,46,X22-2211V2zf,,,13770,26/04/2024 14:18:17,28/04/2024 16:08:14,,"49,7300","591,7800","11,8999",,,,X22-2211V2zf,
,,+,47,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20905,02/04/2024 14:30:21,27/04/2024 05:59:43,,"591,4700","8961,5900","15,1514","147,500","60,7600","13,3700",,
,,+,48,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,20956,27/04/2024 09:43:49,23/05/2024 09:05:16,,"623,1700","9635,4200","15,4619","157,3200","61,2400","13,4700",,24/78801-F3
,,+,49,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)",,21000,03/04/2024 10:00:00,16/4/2024,,,,,"72,3400",,,A META' CICLO FARE LEVATA,
,,+,49,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)",,21000,16/04/2024 10:00:00,29/4/2024,,,,,"77,9500",,,A META' CICLO FARE LEVATA,
,,+,50,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)",,21000,03/04/2024 10:00:00,16/4/2024,,,,,"72,3400",,,A META' CICLO FARE LEVATA,
,,+,50,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)",,21000,16/04/2024 10:00:00,29/4/2024,01/05/2024 10:00:00,,,,"89,5500",,,"A META' CICLO FARE LEVATA, 2271DN 749DN?",
,,+,51,X22-7810S-ZN354 4 ci,"Ly 78/50f42 s+Z tpm 1100 st. 3,5 (EC)",,13494,20/04/2024 09:06:40,23/04/2024 15:39:41,,"78,3700","712,100","9,0864","111,3200","6,400","1,4100",,
,,+,51,X22-7810S-ZN354 4 ci,"Ly 78/50f42 s+Z tpm 1100 st. 3,5 (EC)",,13494,24/04/2024 10:07:58,27/04/2024 16:27:57,,"78,3200","706,3300","9,0185","111,2500","6,3500","1,400",,
,,+,51,X22-2203S+ZN,Cr22/78f68 ecocare S+Z tpm 600 st- 3.2 (DC),,12693,29/04/2024 13:25:15,02/05/2024 16:19:14,,"74,7300","869,9900","11,6418","215,2500","4,0400","0,8900",,24-78301
,,+,52,2274ZN2,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)",,13006,04/04/2024 14:52:26,07/04/2024 14:57:31,,"72,00","997,4600","13,8536","208,7900","4,7800","1,0500",,
,,+,52,lycra 20 fusion usata,,,13006,10/04/2024 10:16:55,13/04/2024 09:47:25,,"71,4500","994,6800","13,9213",,,,lycra 20 fusion usata,
,,+,53,X23-4496V2ZN2,"Ly44/78f70 Z tpm 1000 st. 3,7 (DH)",,13015,30/04/2024 13:42:22,30/04/2024 14:44:30,,"128,7500","15,6300","0,1214","234,6100","0,0700","0,0200",,
,,+,54,X24-1701S+ZN,"K 17/8f5 S+Z tpm 2400 stiro 2,9",,20593,19/04/2024 09:01:01,05/05/2024 16:17:27,,"391,300","4639,0800","11,8556","76,6400","60,5300","13,3200",,
,,+,55,X24-1301V2S+ZN mini,"Ly 13/11f8 S+Z tpm 2400 st. 2,9 (CL)",,20574,16/04/2024 13:40:31,07/05/2024 09:24:09,,"499,5800","5796,0300","11,6018","107,6800","53,8300","11,8400",LOTTO SPANDEX NUOVO,
,,+,56,X24-1301V2S+ZN mini,"Ly 13/11f8 S+Z tpm 2400 st. 2,9 (CL)",264,20599,04/04/2024 11:22:08,25/04/2024 07:28:22,,"500,100","5789,4300","11,5765","107,7800","53,7100","11,8200","LOTTO SPANDEX VECCHIO 24pos, + IL RESTANTE E' NUOVO",
,,+,57,4424zf,,,13205,05/04/2024 09:26:54,13/04/2024 14:50:47,,"197,2300","2486,4900","12,6071",,,,4424zf,
,,+,57,4424S+ZN/F,"Ly44/44f34 S+Z tpm 1000 st. 3,8 (DI)",,13205,27/04/2024 06:37:00,05/05/2024 06:33:49,,"191,900","2454,1200","12,7885","229,3600","10,700","2,3500",,
,,+,58,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)",,13205,18/04/2024 12:32:16,23/04/2024 06:41:08,,"114,1500","1401,8700","12,2809","205,7700","6,8100","1,500",      ,
,,+,59,4466S+ZN,"Ly44/22f7 S+Z tpm 1900 stiro 3,6 (DG)",,18879,05/04/2024 11:01:12,15/04/2024 10:57:17,,"239,8800","3374,6700","14,0682","129,2600","26,1100","5,7400","inserire una levata in sola torsione Z,OK FATTA), tutte le altre 3 in s-z
",
,,+,59,4466S+ZN,"Ly44/22f7 S+Z tpm 1900 stiro 3,6 (DG)",,18878,15/04/2024 13:56:20,26/04/2024 22:09:56,,"240,2200","3378,1200","14,0626","129,4400","26,100","5,7400","inserire una levata in sola torsione Z,OK FATTA), tutte le altre 3 in s-z
",
,,+,59,4466S+ZN,"Ly44/22f7 S+Z tpm 1900 stiro 3,6 (DG)",,18879,27/04/2024 13:04:08,07/05/2024 12:13:19,,"239,00","3343,2700","13,9886","128,7800","25,9600","5,7100","inserire una levata in sola torsione Z,OK FATTA), tutte le altre in s-z
",
,,+,60,2250SN,"KL22/11f5 S tpm 1400 st. 2,75 (CHF)",,18494,13/04/2024 08:25:12,28/04/2024 03:47:16,,"355,200","3536,7900","9,9572","139,1900","25,4100","5,5900",,
,,+,60,X24-2001S+ZN,"Ly 20/8f5 S+Z tpm 1900 st. 2,8 (CI)",,20994,30/04/2024 15:10:02,11/05/2024 06:03:40,,"254,8800","3329,700","13,0638","69,9200","47,6300","10,4800",,
,,+,62,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20700,06/04/2024 10:00:00,01/05/2024 02:00:00,,,,,"156,3800",,,,
,,+,63,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20700,13/04/2024 10:00:00,08/05/2024 02:00:00,,,,,"156,5200",,,,
,,+,64,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20700,12/04/2024 10:00:00,07/05/2024 02:00:00,,,,,"162,500",,,,
,,+,65,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20700,04/04/2024 10:00:00,29/04/2024 02:00:00,,,,,"155,7600",,,,
,,+,66,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,20939,22/04/2024 12:37:42,17/05/2024 10:11:57,,"597,4700","9067,9700","15,1773","150,7100","60,1700","13,2400",,24/78901-M8
,,+,67,X23-4491DF1,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",,14000,09/04/2024 11:09:03,17/04/2024 13:50:02,,"120,8500","416,9300","3,4500","110,1100","3,7900","0,8300",,
,,+,67,X23-4491DF1,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",,14000,17/04/2024 16:04:02,22/04/2024 12:35:03,,"116,500","559,200","4,800","106,1400","5,2700","1,1600",,
,,+,67,X23-4491DF1,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",,19600,22/04/2024 14:00:03,27/04/2024 09:15:03,,"115,2200","553,0400","4,7999","101,5900","5,4400","1,200",,
,,+,67,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,19600,27/04/2024 12:25:03,01/05/2024 11:00:02,,"94,5300","893,3400","9,4503","115,7700","7,7100","1,700",,
,,+,68,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",,14000,03/04/2024 11:01:02,07/04/2024 11:30:02,07/04/2024 03:45:00,"96,4700","491,9800","5,0998","87,8900","5,600","1,2300",PESO SPOLA 240 CICLO 4 x 3gg + 16h,
,,+,68,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",,14000,08/04/2024 11:42:02,11/04/2024 21:45:03,,"82,0300","418,3700","5,1002","74,7400","5,5900","1,2300",PESO SPOLA 240 CICLO 4 x 3gg + 16h,
,,+,68,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",,14000,12/04/2024 15:12:02,16/04/2024 09:45:02,,"90,500","475,1300","5,2501","82,4600","5,7600","1,2700",PESO SPOLA 240 CICLO 4 x 3gg + 16h,
,,+,68,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",,14000,16/04/2024 17:56:02,20/04/2024 06:00:03,20/04/2024 10:00:00,"84,0700","441,3500","5,2498","76,5900","5,7600","1,2700",PESO SPOLA 240 CICLO 4 x 3gg + 16h,
,,+,68,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",,14000,20/04/2024 07:37:03,24/04/2024 00:10:03,28/04/2024 10:00:00,"88,500","464,6300","5,2501","78,0300","5,9600","1,3100","8° ciclo PESO SPOLA 260 CICLO 4gg, poi peso spola standart",
,,+,68,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",,14000,24/04/2024 14:53:03,28/04/2024 09:50:03,,"90,8800","477,1400","5,2502","80,1300","5,9500","1,3100",fare levata mancante di greggio,
,,+,68,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",,14000,29/04/2024 13:22:02,02/05/2024 23:00:02,,"81,600","403,9200","4,9500","71,9500","5,6200","1,2400",fare 1 levata mancante di greggio poi continuare con x 5 levate di sand,24/84704
,,+,69,15611DN,"Ro156/44f34 DC tpm 1200 st. 2,7 (CH)",,19500,22/04/2024 09:08:03,25/04/2024 09:15:03,,"72,0700","86,4800","1,1999","99,5500","0,8600","0,1900",,
,,+,69,X21-20099DN2,"Ly200/22f10 DC tpm 1500 st. 4,6 (EG)",,19500,26/04/2024 11:13:03,02/05/2024 10:30:02,,"138,8700","166,6400","1,200","134,6900","1,2400","0,2700",,
,,+,70,X21-4489V3S+ZN,"Lycra 44/44f34 S+Z tpm 750 st. 3,0 (DA)",,16300,03/04/2024 11:03:02,05/04/2024 22:25:02,,"59,3500","730,00","12,2999","116,8700","6,2500","1,3700",5°levata residuo,
,,+,70,X21-4489V3S+ZN,"Lycra 44/44f34 S+Z tpm 750 st. 3,0 (DA)",85,16300,06/04/2024 12:50:02,07/04/2024 08:25:02,,"19,5300","181,6600","9,3016","12,3800","14,700","3,2300",5°levata residuo,
,,+,70,X21-4489V3S+ZN,"Lycra 44/44f34 S+Z tpm 750 st. 3,0 (DA)",85,12500,09/04/2024 15:27:03,12/04/2024 19:10:02,,"75,700","510,9800","6,7501","47,9900","10,6500","2,3400",,
,,+,70,X23-7899ZN,"Cr 78/44f34 Z tpm 600 st.3,2 (DC)",,12500,13/04/2024 10:26:02,17/04/2024 12:35:02,,"98,1500","868,6300","8,8500","232,700","3,7300","0,8200",2 LOTTI SPANDEX,
,,+,70,X23-7899ZN,"Cr 78/44f34 Z tpm 600 st.3,2 (DC)",,12500,17/04/2024 15:02:02,20/04/2024 22:55:03,,"79,8800","730,9300","9,1504","189,3900","3,8600","0,8500",2 LOTTI SPANDEX,
,,+,70,X23-7899ZN,"Cr 78/44f34 Z tpm 600 st.3,2 (DC)",,12500,22/04/2024 16:08:03,26/04/2024 17:35:03,,"97,400","832,7700","8,5500","230,9200","3,6100","0,7900",2 LOTTI SPANDEX,
,,+,70,X23-7899ZN,"Cr 78/44f34 Z tpm 600 st.3,2 (DC)",,12500,29/04/2024 10:55:02,02/05/2024 23:30:02,,"84,5200","747,9700","8,8496","200,3800","3,7300","0,8200",,24-81002
,,+,71,1724S+ZN 2cicli,"K17/10f2 S+Z tpm 2100 st. 2,6 (CG)",,20200,08/04/2024 15:26:03,14/04/2024 13:30:02,,"142,0500","1811,1400","12,7500","34,7900","52,0500","11,4500",2° 8GG POI NODO CON K 17 USATO VA 12GG  ,
,,+,71,1724S+ZN 2cicli,"K17/10f2 S+Z tpm 2100 st. 2,6 (CG)",,20200,16/04/2024 15:29:03,01/05/2024 13:05:02,,"357,5200","3700,300","10,3499","87,5600","42,2500","9,300",mettere 12 sottopesi,
,,+,72,4412ZN,"Ly 44/13f7 S+Z tpm 1700 st. 3,8 (DI)",,21000,05/04/2024 15:28:03,10/04/2024 13:45:03,,"118,2300","1915,3800","16,2005","55,600","34,4400","7,5800",nodo + stacca attacca lycra usata va 8gg  ,
,,+,72,4412ZN,"Ly 44/13f7 S+Z tpm 1700 st. 3,8 (DI)",,21000,12/04/2024 19:52:02,20/04/2024 20:15:03,20/04/2024 10:00:00,"191,500","2470,3500","12,900","90,0500","27,4300","6,0300",nodo + levata lycra usata va 8gg  ,
,,+,72,X23-2279ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",,11300,22/04/2024 08:58:03,04/05/2024 10:00:03,,"47,1200","106,0100","2,2498","176,3300","0,600","0,1300",roica usata va 3cicli,24/77601 F3
,,+,75,X24-2213ZN2,"Cr22/78f70 Z tpm 1000 st.3,2 (DC)",,12200,16/04/2024 10:00:00,21/04/2024 08:00:00,,,,,"14,7800",,,,
,,+,75,X24-2213ZN2,"Cr22/78f70 Z tpm 1000 st.3,2 (DC)",,15500,23/04/2024 10:00:00,25/04/2024 08:00:00,,,,,"18,7400",,,,
,-,Mese Inizio : 5,,,,,,,,,,,,,,,,
,,+,1,2277DN mini,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)",392,20211,07/05/2024 14:40:57,24/05/2024 19:37:51,,"412,8500","5433,6500","13,1613","114,1700","47,600","10,4700",,24/81301-M8
,,+,1,2277DN mini,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)",392,20216,28/05/2024 09:13:33,15/06/2024 06:03:26,,"428,800","5571,4800","12,9932","118,6100","46,9700","10,3300",,24/72701-M8
,,+,2,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",448,21113,07/05/2024 09:23:37,24/05/2024 08:58:15,,"407,5500","6625,1100","16,2559","170,300","38,900","8,5600",,23/68305-F1+M4
,,+,2,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",448,21105,29/05/2024 07:58:27,12/06/2024 00:01:51,,"328,0200","5433,3200","16,5640","137,0100","39,6500","8,7200",,24/90703-M4
,,+,4,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",448,20901,16/05/2024 16:05:24,30/05/2024 04:18:18,,"324,1700","6185,800","19,0820","134,100","46,1300","10,1500",,24/75601-F1
,,+,5,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,21119,22/05/2024 14:44:56,15/06/2024 11:51:32,14/06/2024 10:00:00,"572,9300","8264,3400","14,4247","145,7700","56,6900","12,4700","

",24/87803-O7
,,+,6,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",256,20337,04/05/2024 09:22:28,22/05/2024 16:02:31,,"438,5500","4018,400","9,1629","58,7200","68,4200","15,0500",,24/77301-F3
,,+,6,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",256,20339,22/05/2024 19:07:30,07/06/2024 13:38:29,08/06/2024 10:00:00,"378,3700","3440,3900","9,0927","50,6700","67,8900","14,9400","spole rimangono grosse, fermare la mc il giorno indicato",24/80602-M8
,,+,7,2277DN mini,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)",448,20215,14/05/2024 12:30:55,01/06/2024 07:30:36,,"426,9300","6697,100","15,6866","134,9600","49,6200","10,9200",CHIEDERE SE FARE LA 6° LEVATA PER FINIRE LYCRA 22,24/81402-M8
,,+,8,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,20611,08/05/2024 09:33:02,01/06/2024 05:49:50,,"572,2500","9049,5300","15,8139","142,0900","63,6900","14,0100",,24/98204-M8
,,+,9,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,20676,14/05/2024 10:37:38,08/06/2024 06:05:09,,"595,4300","8331,5600","13,9925","148,3100","56,1800","12,3600",,23/57905-M8
,,+,10,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,20996,16/05/2024 12:48:43,08/06/2024 15:14:31,,"554,2700","9439,3700","17,0303","140,200","67,3300","14,8100",,24/77902-O7
,,+,11,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,21027,29/05/2024 11:36:34,22/06/2024 10:14:27,,"574,4800","9051,0600","15,7552","145,5300","62,200","13,6800",,24/93004-O7
,,+,12,2271DN 20000 mini,"K22/8f5 dc tpm 3000 st. 2,8 CI",448,20142,25/05/2024 05:57:02,20/06/2024 03:59:38,,"621,9700","9980,6400","16,0468","270,7500","36,8600","8,1100",FERMATA A TEMPO 621H                  PROVA CONSUMI                             PARTIRE CON SPOLE FADIS3,24/73401-F3
,,+,13,X23-3399S+ZF,"Ly 33/13f7 S+Z tpm 1750 st. 3,1",256,19377,15/05/2024 11:44:09,25/05/2024 12:16:11,25/05/2024 10:00:00,"240,4500","3039,200","12,6396","98,6200","30,8200","6,7800","NO NODI SOST TUB ALLA ROTTURA
",23/45207-MS1
,,+,13,X23-3399S+ZF,"Ly 33/13f7 S+Z tpm 1750 st. 3,1",256,19380,27/05/2024 09:57:07,04/06/2024 10:28:39,,"192,5200","2385,2900","12,3898","78,9700","30,200","6,6400","NO NODI SOST TUB ALLA ROTTURA
",24/77802-MS1
,,+,14,manilas+z,,256,18534,31/05/2024 13:47:19,23/06/2024 12:47:15,,"550,8300","5219,1500","9,4751",,,,manilas+z,
,,+,15,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",,19586,04/05/2024 13:41:43,04/05/2024 14:05:08,,"371,1700","16,6600","0,0449","118,5800","0,1400","0,00",,
,,+,15,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19874,06/05/2024 08:01:26,23/05/2024 05:41:25,,"405,6300","4688,9100","11,5596","131,5100","35,6600","7,8400",FERMATA A TEMPO 404H                              PARTIRE CON SPOLE FADIS3,24/95002-F3
,,+,15,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19870,24/05/2024 11:34:07,10/06/2024 02:35:12,,"398,8800","4651,3100","11,6609","129,2900","35,9700","7,9100",FERMATA A TEMPO 404H                              PARTIRE CON SPOLE FADIS3,24/94603-F3
,,+,16,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19795,23/05/2024 12:30:58,09/06/2024 09:11:09,,"404,6200","4519,4700","11,1697","130,6600","34,5900","7,6100",FERMATA A TEMPO 404H                              PROVA CONSUMI                                            PARTIRE CON SPOLE FADIS3,24/74101-F3
,,+,17,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19818,17/05/2024 12:32:04,03/06/2024 10:32:51,,"405,9700","5041,4800","12,4184","131,2500","38,4100","8,4500",,23/69805-F3
,,+,18,7032s+z,,256,20175,13/05/2024 08:56:42,29/05/2024 10:10:58,,"385,1500","5641,9800","14,6488",,,,7032s+z,
,,+,19,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19795,16/05/2024 13:12:39,02/06/2024 01:05:45,,"395,8300","4672,6500","11,8047","127,8200","36,5600","8,0400",,24/90402-F3
