N° MC,,,,cod articolo,descrizione,N° fusi reali,velocita fusi inferiori,data ora partenza,data ora fine,data ora fine manuale,ore lavorate dalla partenza,KWh assorbiti,KW medi,produzione [kg],KWh/Kg,€/Kg,note,N° scheda
-,Anno Inizio : 2024,,,,,,,,,,,,,,,,,
,-,Mese Inizio : 4,,,,,,,,,,,,,,,,
,,+,19,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",,19795,27/04/2024 13:13:17,14/05/2024 12:24:23,,"407,1300","4770,8200","11,7182","131,500","36,2800","7,9800",,24/92101-F3
,,+,20,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",,19800,06/04/2024 09:02:00,22/04/2024 00:44:20,,"375,6300","4629,8300","12,3255","121,3300","38,1600","8,400",,
,,+,20,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",,19808,23/04/2024 12:32:30,10/05/2024 13:54:15,,"409,3300","4961,1800","12,1202","132,2100","37,5200","8,2500",,
,,+,21,2270s+z rpm 21000,,,21129,18/04/2024 11:01:32,02/05/2024 23:12:44,,"348,1200","4616,5800","13,2615",,,,2270s+z rpm 21000,
,,+,22,2250S+ZN,"KL22/11f5 S+Z tpm 1400 st. 2,75 (CHF)",,18457,06/04/2024 11:32:02,18/04/2024 21:13:21,,"297,5500","3264,5100","10,9713","113,0700","28,8800","6,3500",MOB.KL22 DELLA MC 60 VA 1 CICLO,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19236,02/04/2024 12:48:09,05/04/2024 10:58:06,,"70,1800","1043,8700","14,8742","107,2500","9,7300","2,1400",,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19315,05/04/2024 11:08:37,08/04/2024 09:27:19,,"70,1800","811,600","11,5645","106,6800","7,6100","1,6700",,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19275,09/04/2024 08:54:01,12/04/2024 09:26:45,,"72,5500","997,2300","13,7454","110,8700","8,9900","1,9800",,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19322,12/04/2024 09:33:59,15/04/2024 05:07:33,,"67,5300","733,900","10,8678","102,6500","7,1500","1,5700",,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19262,16/04/2024 12:59:09,19/04/2024 10:42:23,,"69,7200","1042,4100","14,9514","106,3300","9,800","2,1600",,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19320,19/04/2024 10:52:38,22/04/2024 09:20:07,,"70,3200","822,8200","11,7011","106,8800","7,700","1,6900",,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19279,23/04/2024 13:53:16,26/04/2024 08:29:11,,"66,600","927,3500","13,9242","101,9800","9,0900","2,00",,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19329,26/04/2024 08:34:24,29/04/2024 10:15:16,,"73,6700","807,8800","10,9662","111,9700","7,2200","1,5900",,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19280,30/04/2024 15:38:24,03/05/2024 15:51:26,,"72,2300","1023,0700","14,1641","110,3800","9,2700","2,0400",,
,,+,24,X24-4401S+ZF2,"Ly 44/50f42x2 S+Z tmp 600 st. 3,2",,10954,05/04/2024 13:44:59,06/04/2024 12:45:28,,"22,8300","137,7500","6,0337","72,2300","1,9100","0,4200",23h               3° RESIDUO,
,,+,24,X24-4401S+ZF2,"Ly 44/50f42x2 S+Z tmp 600 st. 3,2",55,10960,08/04/2024 16:07:03,09/04/2024 14:17:42,,"22,1700","130,5700","5,8895","15,0700","8,700","1,9100",23h               3° RESIDUO,
,,+,24,X24-4401S+ZF2,"Ly 44/50f42x2 S+Z tmp 600 st. 3,2",55,10985,10/04/2024 11:16:43,11/04/2024 10:01:18,,"22,6300","87,2200","3,8542","15,3800","5,6600","1,2400",23h               3° RESIDUO,
,,+,24,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",,18439,11/04/2024 12:36:25,20/04/2024 10:04:23,,"213,4200","2769,8300","12,9783","125,700","22,0400","4,8500",NO NODI SOST TUB ALLA ROTTURA       LYCRA USATA FARE 2 CICLI POI METTERLA NUOVA,
,,+,24,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",,18450,20/04/2024 12:21:15,29/04/2024 14:20:16,,"217,7300","2799,9100","12,8596","128,2500","21,8300","4,800",NO NODI SOST TUB ALLA ROTTURA       ,
,,+,24,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",,18453,30/04/2024 08:45:59,09/05/2024 03:12:28,,"210,3300","2678,9400","12,7368","123,8900","21,6200","4,7600",NO NODI SOST TUB ALLA ROTTURA       ,
,,+,25,X21-2291SF,"K22/44f48 Z tpm 600 st. 2,9 (CL)",,15335,06/04/2024 12:14:03,08/04/2024 16:57:02,,"52,5700","532,1600","10,1229","113,8600","4,6700","1,0300",,
,,+,25,X21-2291SF,"K22/44f48 Z tpm 600 st. 2,9 (CL)",,15334,09/04/2024 15:07:44,11/04/2024 19:57:21,,"52,7500","532,6500","10,0976","114,2600","4,6600","1,0300",3°RESIDUO,
,,+,25,X21-2291sf,,,15396,12/04/2024 15:54:44,14/04/2024 21:39:35,,"53,6300","298,9700","5,5747",,,,X21-2291sf,
,,+,25,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",,18385,26/04/2024 10:30:41,05/05/2024 11:46:33,,"216,9700","2923,500","13,4742","127,7900","22,8800","5,0300",NO NODI SOST TUB ALLA ROTTURA      ,
,,+,26,2270S+ZN mini,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",,21089,09/04/2024 12:24:45,24/04/2024 01:55:17,,"349,3200","4052,3600","11,6007","112,8300","35,9100","7,900",MOB.KL22 USATO VA 15GG,
,,+,26,2270S+ZN mini,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",,21098,24/04/2024 14:50:45,10/05/2024 11:05:37,,"380,1200","4230,9600","11,1306","122,7800","34,4600","7,5800",,
,,+,27,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",,21097,17/04/2024 11:19:50,28/04/2024 03:21:48,,"255,9200","2767,6700","10,8146","89,9500","30,7700","6,7700",,
,,+,27,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",,21099,29/04/2024 09:47:28,10/05/2024 06:24:01,,"260,5300","2800,7600","10,7502","91,5800","30,5900","6,7300",,24-89303
,,+,28,X24-2001S+ZN,"Ly 20/8f5 S+Z tpm 1900 st. 2,8 (CI)",,21100,04/04/2024 11:09:31,15/04/2024 08:07:13,,"260,9200","2521,4500","9,6637","69,400","36,3200","7,9900",ingranaggi e impostazioni del 2270s+z minispole,
,,+,28,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",,21100,15/04/2024 10:29:03,26/04/2024 07:33:21,,"260,9800","2694,8300","10,3258","91,7400","29,3800","6,4600",,
,,+,28,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",,21100,26/04/2024 12:31:15,07/05/2024 04:31:00,,"255,8300","2710,2600","10,5940","89,9300","30,1400","6,6300",,
,,+,29,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14425,02/04/2024 11:52:21,07/04/2024 00:21:07,,"108,300","1045,0500","9,6496","173,8800","6,0100","1,3200",,
,,+,29,28503ZN,"Ly285/78f68 Z tpm 726 st. 4,6 (EG)",,13151,09/04/2024 10:31:26,12/04/2024 08:08:07,,"69,6200","847,2400","12,1695","263,2200","3,2200","0,7100",,
,,+,29,28503ZN,"Ly285/78f68 Z tpm 726 st. 4,6 (EG)",,13156,12/04/2024 14:28:55,15/04/2024 12:14:55,,"69,6200","858,3500","12,3291","263,2200","3,2600","0,7200",,
,,+,30,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14495,02/04/2024 09:59:38,07/04/2024 12:07:48,,"122,00","1057,0700","8,6645","195,8700","5,400","1,1900",SCARICARE SUL CARRELLO,
,,+,30,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14490,08/04/2024 13:15:00,13/04/2024 06:01:51,,"112,7500","1008,4400","8,9440","181,0200","5,5700","1,2300",SCARICARE SUL CARRELLO,
,,+,30,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14492,13/04/2024 07:56:13,17/04/2024 19:58:35,,"107,900","966,3300","8,9558","173,2300","5,5800","1,2300",SCARICARE SUL CARRELLO,
,,+,30,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14494,18/04/2024 09:17:51,23/04/2024 04:36:18,,"115,2300","997,1700","8,6537","185,0100","5,3900","1,1900",SCARICARE SUL CARRELLO,
,,+,30,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14497,24/04/2024 10:13:10,29/04/2024 05:38:18,,"115,3800","1001,9700","8,6841","185,2500","5,4100","1,1900",SCARICARE SUL CARRELLO,
,,+,31,2246ZN 10800,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)",,10855,02/04/2024 15:10:28,05/04/2024 09:39:50,,"66,4800","671,300","10,0978","150,3200","4,4600","0,9800",CREORA 22 DELLA MC 44,
,,+,31,2246ZN 10800,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)",,10862,17/04/2024 07:58:55,20/04/2024 22:36:10,,"86,4800","779,8100","9,0172","195,5400","3,9900","0,8800",CREORA 22 usata va 4 cicli,
,,+,32,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14573,03/04/2024 09:44:11,08/04/2024 08:31:26,,"118,7700","1077,8700","9,0753","190,6800","5,6500","1,2400",SCARICARE SUL CARRELLO,
,,+,32,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14574,08/04/2024 14:49:57,13/04/2024 12:34:48,,"117,6200","1053,3400","8,9554","188,8300","5,5800","1,2300",SCARICARE SUL CARRELLO,
,,+,32,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14571,13/04/2024 18:58:43,18/04/2024 02:19:46,,"103,2300","948,5400","9,1886","165,7400","5,7300","1,2600",SCARICARE SUL CARRELLO,
,,+,32,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14574,19/04/2024 12:51:29,24/04/2024 16:08:24,,"123,2500","1110,6900","9,0117","197,8800","5,6100","1,2400",SCARICARE SUL CARRELLO,
,,+,32,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14576,25/04/2024 14:02:49,30/04/2024 14:04:52,,"120,0200","1070,2600","8,9173","192,6900","5,5500","1,2200",SCARICARE SUL CARRELLO,
,,+,33,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",,19844,11/04/2024 09:59:46,17/04/2024 09:07:16,17/04/2024 10:00:00,"142,9800","1636,5800","11,4462","50,2600","32,5700","7,1700",METTERE RPM 20800,
,,+,33,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",,21168,17/04/2024 10:43:28,22/04/2024 08:02:11,22/04/2024 10:00:00,"117,2500","1228,500","10,4776","41,2100","29,800","6,5600",,
,,+,33,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",,21189,22/04/2024 10:59:41,03/05/2024 10:37:10,,"263,5300","2796,6500","10,6123","92,6300","30,1900","6,6400",,
,,+,34,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",,21075,12/04/2024 08:48:28,17/04/2024 11:33:25,18/04/2024 10:00:00,"122,7500","1682,500","13,7067","43,7900","38,4100","8,4500",,
,,+,34,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",,21127,17/04/2024 11:34:39,23/04/2024 08:09:49,23/04/2024 10:00:00,"140,400","1547,0800","11,0191","49,3500","31,3500","6,900",,
,,+,34,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",,21123,23/04/2024 10:56:12,04/05/2024 03:16:06,,"256,1700","2883,1300","11,2548","90,0400","32,0200","7,0400",,
,,+,35,X23-2280S+ZN,"s22/22f7 S + Z tmp 1550 st. 3,2 GRS (DC)",,,11/04/2024 14:19:08,11/04/2024 14:31:22,,"186,0200","4,6200","0,0248","106,0300","0,0500","0,0100",,
,,+,35,X23-2280S+ZN,"s22/22f7 S + Z tmp 1550 st. 3,2 GRS (DC)",245,20924,15/04/2024 09:21:01,22/04/2024 10:39:19,,"169,1500","2700,5100","15,9652","92,2700","29,2700","6,4400",,
,,+,35,X23-2280S+ZN,"s22/22f7 S + Z tmp 1550 st. 3,2 GRS (DC)",245,20977,22/04/2024 15:04:14,29/04/2024 14:48:44,,"167,6200","2631,7400","15,7006","91,4400","28,7900","6,3300",,
,,+,35,X23-2280S+ZN,"s22/22f7 S + Z tmp 1550 st. 3,2 GRS (DC)",240,20995,29/04/2024 15:57:27,06/05/2024 18:37:09,,"170,6700","2626,700","15,3905","91,200","28,800","6,3400",,24-80502
