Cliente,n. ordine cliente,n. ordine ns,data inserimento ordine,n. ordine interno,cod articolo,descrizione,quantità,data di consegna,nr. fusi,N° MC,n° levate,gg per produrre,data arrivo materia prima,Completamento ordine,prodotto kg,consegnato kg,giacenza prodotto finito,note,Evaso
CALZIFICIO GENNY,301024,19292,30/10/2024,319,X23-7892DN mini,"Ly 78/13f7 dc tpm 1750 st. 3,8 (DI)","210,0",25/11/2024,264,1,"2,24","20,2",,05/12/2024,0,,,"V2 - VELOCITA'=750/1400, TENSIONE=4 GR, METRI=176,923- Dividere il peso del nylon che arriva su 2 levate (MC da 264 - 528 spole)",Falso
FISHER & PAYKEL,149910,19291,30/10/2024,318,X21-39599V7DN0332,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Blu","190,0",08/01/2025,256,1,"0,88","1,47",,16/11/2024,0,,,1 LEVATA SCARSA -FINIRE FILO - Attenzione: usare la Lycra 395 903 C-  valutare di fare in coda all'ordine interno nr.312 perché la consegna sia di quest'ordine che del 312 è per inizio gennaio 2025.,Falso
CALZIFICIO TREVER,,,06/11/2024,323,X23-13097V11ZF,"Ro 130/33f20 par Z tpm 900 st. 4,3 (ED)","1.960,0",11/11/2024,,,,,,,,,,FARE LA PRIMA LEVATA E POI FERMARSI E ATTENDERE DISP.NI,Falso
CALZIFICIO TREVER,,,06/11/2024,324,,,"90,0",11/11/2024,,,,,,,,,,X24-13097V14,Falso
DUELEGS,,,06/11/2024,322,X23-31095ZN,Cr 310 H300 - 44f12 tpm 600 st. 3,"65,0",11/11/2024,,,,,,,,,,X24-31095ZN1 - finire nylon,Falso
MEDI,97562,19311,07/11/2024,325,S21-100011DN100 A230,"Mu 1000/62f18 dc tpm 800 st. 2,2 (CC)","80,0",07/01/2025,,,,,,,,,,,Falso
MEDI,79552,19312,07/11/2024,326,,,"20,0",11/11/2024,,,,,,,,,,X24-124001V2DN,Falso
FALKE,1900199,,23/02/2023,67,X24-1301V2S+ZN mini,"Ly 13/11f8 S+Z tpm 2400 st. 2,9 (CL)","900,0",,256,1,"8,59","170,45",,04/05/2025,"1,32","499,0","0,0",prima levata caricare lycra vecchio lotto 1A303 - 264 pos per 84 gr - per questa levata servono spole più piccole da 245 gr e andrà ca. 16 gg rispetto ai 20 gg di cilco standard - NUOVO LOTTO LYCRA 13,Falso
SCORTA,,,19/04/2024,137,7034ZN,"Cr 78/22f7 Z tpm 1900 st. 4,0 (EA)","1.930,0",,256,1,"11,58","113,26",,08/03/2025,"2,13",,,,Falso
MEDI,5933,19112,16/07/2024,238,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7","5.921,0",,256,1,"44,42","397,92",,18/12/2025,0,"1.985,0","0,0",,Falso
RADICI,29270,19186,06/09/2024,259,2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)","5.750,0",,256,1,"25,65","147,89",,12/04/2025,"9,72","3.932,0",,,Falso
RADICI,29270,19186,06/09/2024,260,2279ZNB10A 13200,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),"2.926,0",,256,1,"14,08","44,01",,29/12/2024,"2325,78","2.847,0",,,Falso
RADICI,29270,19186,06/09/2024,261,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)","5.200,0",,256,1,"22,83","112,26",,07/03/2025,"2232,98","1.741,0",,ATTENZIONE DARE PRECEDENZA A QUEST'ORDINE RISPETTO AGLI ALTRI,Falso
SANYLEG,318,19225,27/09/2024,283,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)","1.428,0",01/12/2024,256,1,"11,88","29,46",,14/12/2024,"6,06",,"0,0",Consegnare kg 230/mese da dicembre a maggio.,Falso
SANYLEG,318,19225,27/09/2024,284,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)","1.236,0",01/12/2024,256,1,"11,64","57,22",,11/01/2025,"2,7",,"0,0",il cliente chiede 230 Kg al mese da DICEMBRE,Falso
CALZIFICIO TREVER,1223610,19230,30/09/2024,,X23-13097V8ZF,"Cr 130/33f20 par Z tpm 900 st. 4,2 (EC)","2.000,0",04/11/2024,,,,,,,,"1.758,0","0,0",,Falso
CALZIFICIO GENNY,270924,,01/10/2024,286,X24-4403V2DN,"Ly 44-11f5 dc tpm 1900 st. 3,5 (DF)","115,0",,256,1,"1,22","17,11",,02/12/2024,"0,84","64,0",,,Falso
INVENTEX,107546,,02/10/2024,288,S21-60083V3DN1,"Mu600/120/1 Aramidico dc 1400 st. 4,5 (EF)","430,0",,256,1,"9,48","9,48",,24/11/2024,0,,,,Falso
W.ZIMMERMANN,10416,,02/10/2024,291,4465SN1,"Ro44/16f10 S tpm 1250 st. 2,9 (CL)","300,0",,264,1,"1,97","17,57",,03/12/2024,"2,01",,,USARE MC DA 264 POSIZIONI- 3 cariche da 170-176 bobine cadauna che equivalgono a 2 levate su mc da 264 spole - bobine da ca. 580 gr senza nodo - usare il 16f10 text CONTROLLATO PER TINTORIA - minimo 5,Falso
SANYLEG,364,19298,05/11/2024,,2274ZN2,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)","240,0",05/11/2024,,,,,,,,"146,0","200,0",,Falso
W.ZIMMERMANN,,,24/10/2024,313,X24-80001V2DN,Cr 800-7008-110f34 dc tpm 600 st. 4,"30,0",13/11/2024,48,1,"1,79","1,49",,16/11/2024,0,,"0,0",Creora 800 dc 7008 + 110f34 - PER ORDINE ord.45 bob. da 670 gr su tub. da 155,Falso
