cliente,cod_articolo,quantity,data inserimento,data consegna
CALZE LUISA,2246ZN 10800,600.0,2024-11-15,2025-01-06
FALKE,X24-1301V2S+ZN mini,180.0,2024-11-15,2025-01-06
FALKE,2277DN mini,5000.0,2024-11-15,2025-06-05
FGP,X23-31094DN3813,5500.0,2024-11-15,2025-06-07
FGP,X24-2202S+Z colorati,1530.0,2024-11-15,2025-01-06
CSP PARIS,4412ZN,1300.0,2024-11-15,2025-03-11
CSP PARIS,4466S+ZN,170.0,2024-11-15,2025-03-01
CALZIFICIO GENNY,X22-2203S+ZN,2900.0,2024-11-15,2024-12-25
MARYGOLD,X23-1299DN mini,470.0,2024-11-15,2025-02-09
MARYGOLD,1724S+ZN 2cicli,400.0,2024-11-15,2025-01-06
